theme_key;theme_label;subtype_key;subtype_label;field_name;field_label;ordre;field_type;required;options
commun;Tous thèmes;;;commune;Commune;10;text;non;
commun;Tous thèmes;;;date;Date;20;date;non;
commun;Tous thèmes;;;heure;Heure;30;time;non;
commun;Tous thèmes;;;auteur_signalement;Auteur signalement;40;text;non;
commun;Tous thèmes;;;auteur_faits;Auteur faits;50;text;non;
commun;Tous thèmes;;;agent_sd;Agent SD créateur du point GeoSD;60;text;non;
commun;Tous thèmes;;;commentaire;Commentaire;70;text;non;
commun;Tous thèmes;;;fiabilite;Fiabilité;80;select;non;1,2,3,4,5
chasse;Chasse;;;braconnage;Braconnage;10;select;non;oui,non
chasse;Chasse;;;journuit;Jour ou nuit;20;select;non;Jour,Nuit
chasse;Chasse;;;nb_coups_de_feu;Nombre de coups de feu entendus;30;number;non;
chasse;Chasse;;;type_arme;Type d'arme perçu;40;select;non;Carabine,Fusil,Indéterminé
chasse;Chasse;;;gibier_recherche;Gibier supposé recherché;50;select;non;Gros,Petit,Indéterminé
chasse;Chasse;;;gibier_retrouve;Gibier retrouvé / emmené;60;select;non;Sanglier,CHI,CEM,CEF,CSI,DAI,PMA,Lièvre,Phaisan,Perdrix,Autres, multiple GG, multiple PG
chasse;Chasse;;;type_moyen_prohibe;Type moyen prohibé;70;select;non;Véhicule,Piegeage,Autourmachine,Arme,Autres
chasse;Chasse;;;vehicule_utilise;Véhicule utilisé;80;text;non;
chasse;Chasse;;;plaque_immatriculation;Plaque d'immatriculation;90;text;non;
peche;Pêche;;;braconnage;Braconnage;10;select;non;oui,non
peche;Pêche;;;type_milieu;Type de milieu;20;select;oui;Étang,Rivière,Loire
peche;Pêche;;;nom_milieu;Nom du milieu;30;text;non;
peche;Pêche;;;espece_ciblee;Espèce ciblée supposée;40;text;non;
peche;Pêche;;;espece_retrouvee;Espèce retrouvée;50;text;non;
peche;Pêche;;;vehicule_utilise;Véhicule utilisé;60;text;non;
peche;Pêche;;;plaque_immatriculation;Plaque d'immatriculation;70;text;non;
eau;Eau;pollution;Pollution;type_pollution;Type de pollution;10;select;oui;Organique,Chimique,Hydrocarbure,Indéterminé
eau;Eau;pollution;Pollution;coloration;Coloration observée;20;text;non;
eau;Eau;pollution;Pollution;odeur;Odeur observée;30;text;non;
eau;Eau;pollution;Pollution;auteur_suppose;Auteur supposé;40;select;non;Particulier,Entreprise,Exploitation agricole
eau;Eau;continuite;Continuité écologique;code_roe;Code ROE obstacle;10;text;non;
phytosanitaires;Phytosanitaires;;;;;;;;
vtm;VTM;;;;;;;;
fsc;FSC;;;;;;;;
habitat_especes;Habitat / espèces protégées;;;;;;;;
cueillette;Cueillette;;;;;;;;
